,Metric,Value
0,Annual Returns,0.1533801188253685
1,Annual Volatility,0.12581255808646136
2,Sharpe Ratio,1.2191161292496897
3,Maximum Drawdown,-0.26927031167053994
4,95% VaR,-0.010934043385328607
