Date,Portfolio Value,Running Max,Drawdown
2016-01-05,0.9991729133703073,0.9991729133703073,0.0
2016-01-06,0.994491271068597,0.9991729133703073,-0.004685517630695847
2016-01-07,0.9777214413546854,0.9991729133703073,-0.02146922892781793
2016-01-08,0.9701971153177417,0.9991729133703073,-0.02899978338566794
2016-01-11,0.9675416745891101,0.9991729133703073,-0.03165742221183917
2016-01-12,0.9765520288637564,0.9991729133703073,-0.022639609424807697
2016-01-13,0.9672477169726164,0.9991729133703073,-0.03195162315800194
2016-01-14,0.9785588888975434,0.9991729133703073,-0.02063108816994532
2016-01-15,0.9678942722503165,0.9991729133703073,-0.03130453268041954
2016-01-19,0.9669226685050485,0.9991729133703073,-0.03227694069135205
2016-01-20,0.9564241823817772,0.9991729133703073,-0.04278411715979623
2016-01-21,0.9570223329868178,0.9991729133703073,-0.04218547142287065
2016-01-22,0.9754396511565405,0.9991729133703073,-0.023752907926329003
2016-01-25,0.966094343066034,0.9991729133703073,-0.03310595179436567
2016-01-26,0.9831245250947003,0.9991729133703073,-0.016061672670323185
2016-01-27,0.9730155258635532,0.9991729133703073,-0.026179039840584454
2016-01-28,0.9781720905301381,0.9991729133703073,-0.021018206717925755
2016-01-29,0.9965876535497573,0.9991729133703073,-0.002587399824350413
2016-02-01,0.9925905467970603,0.9991729133703073,-0.006587815267173431
2016-02-02,0.9808136569391247,0.9991729133703073,-0.01837445369616264
2016-02-03,0.9931592901505215,0.9991729133703073,-0.00601860112430519
2016-02-04,0.9998911892089625,0.9998911892089625,0.0
2016-02-05,0.9909898663620652,0.9998911892089625,-0.00890229151227876
2016-02-08,0.9964448807262265,0.9998911892089625,-0.00344668351909614
2016-02-09,0.9968550484373001,0.9998911892089625,-0.0030364711724926072
2016-02-10,0.9927713145756298,0.9998911892089625,-0.007120649436830557
2016-02-11,0.9907331253023699,0.9998911892089625,-0.009159060511211958
2016-02-12,1.0056148078305818,1.0056148078305818,0.0
2016-02-16,1.009660361871811,1.009660361871811,0.0
2016-02-17,1.0163804563616976,1.0163804563616976,0.0
2016-02-18,1.0192344593342813,1.0192344593342813,0.0
2016-02-19,1.0196176848034015,1.0196176848034015,0.0
2016-02-22,1.0229443451752842,1.0229443451752842,0.0
2016-02-23,1.0121774436751,1.0229443451752842,-0.01052540302018012
2016-02-24,1.017014911820752,1.0229443451752842,-0.005796437882958418
2016-02-25,1.0253959875420566,1.0253959875420566,0.0
2016-02-26,1.0202848764752492,1.0253959875420566,-0.004984524153501978
2016-02-29,1.0152574404220258,1.0253959875420566,-0.00988744567289911
2016-03-01,1.0325138457998313,1.0325138457998313,0.0
2016-03-02,1.0384013346714678,1.0384013346714678,0.0
2016-03-03,1.0426456484894204,1.0426456484894204,0.0
2016-03-04,1.0442506878944675,1.0442506878944675,0.0
2016-03-07,1.046720623103479,1.046720623103479,0.0
2016-03-08,1.039970872628349,1.046720623103479,-0.00644847376286256
2016-03-09,1.0414467922333561,1.046720623103479,-0.005038432179243893
2016-03-10,1.0432868523694425,1.046720623103479,-0.003280503563458429
2016-03-11,1.0464992307928327,1.046720623103479,-0.00021151041238664028
2016-03-14,1.045452813375524,1.046720623103479,-0.0012112207402542794
2016-03-15,1.0488921870644503,1.0488921870644503,0.0
2016-03-16,1.053189067065214,1.053189067065214,0.0
2016-03-17,1.0567117786559,1.0567117786559,0.0
2016-03-18,1.0617912439766843,1.0617912439766843,0.0
2016-03-21,1.058992449686931,1.0617912439766843,-0.0026359176586078907
2016-03-22,1.0602325797564809,1.0617912439766843,-0.0014679573118025076
2016-03-23,1.057149877389997,1.0617912439766843,-0.004371260935722375
2016-03-24,1.0557184985977814,1.0617912439766843,-0.00571934023128585
2016-03-28,1.056415542496714,1.0617912439766843,-0.005062861000658511
2016-03-29,1.0673281893219988,1.0673281893219988,0.0
2016-03-30,1.0685859022255846,1.0685859022255846,0.0
2016-03-31,1.0650635525586574,1.0685859022255846,-0.0032962718856678567
2016-04-01,1.0696743913694164,1.0696743913694164,0.0
2016-04-04,1.069046489888611,1.0696743913694164,-0.0005870024428664148
2016-04-05,1.065329599171448,1.0696743913694164,-0.004061789487552544
2016-04-06,1.0702947047478824,1.0702947047478824,0.0
2016-04-07,1.0632530886665283,1.0702947047478824,-0.006579137549795431
2016-04-08,1.0663010452964938,1.0702947047478824,-0.003731364299638634
2016-04-11,1.0679152544358081,1.0702947047478824,-0.0022231730209622087
2016-04-12,1.0755007430878747,1.0755007430878747,0.0
2016-04-13,1.0828758101122067,1.0828758101122067,0.0
2016-04-14,1.082469410886808,1.0828758101122067,-0.00037529624505744125
2016-04-15,1.0806298115438535,1.0828758101122067,-0.002074105402835105
2016-04-18,1.081306623213773,1.0828758101122067,-0.0014490922077862042
2016-04-19,1.0889066331333512,1.0889066331333512,0.0
2016-04-20,1.0846075936141297,1.0889066331333512,-0.003948033181551047
2016-04-21,1.0785691198217615,1.0889066331333512,-0.009493479970677846
2016-04-22,1.0804816338574974,1.0889066331333512,-0.007737118150902176
2016-04-25,1.0789661533605812,1.0889066331333512,-0.009128863274683232
2016-04-26,1.0780610566286133,1.0889066331333512,-0.009960061014165716
2016-04-27,1.0735790446858196,1.0889066331333512,-0.014076127356691942
2016-04-28,1.0691339846908043,1.0889066331333512,-0.01815825878996686
2016-04-29,1.0695733768774138,1.0889066331333512,-0.017754741928888394
2016-05-02,1.0723926126367476,1.0889066331333512,-0.015165690054696639
2016-05-03,1.0702072208693452,1.0889066331333512,-0.017172649789264412
2016-05-04,1.0654719713647907,1.0889066331333512,-0.021521277449772575
2016-05-05,1.0661008985465394,1.0889066331333512,-0.02094370067449017
2016-05-06,1.0685859429349032,1.0889066331333512,-0.018661554241776325
2016-05-09,1.0666437327706948,1.0889066331333512,-0.020445187571862318
2016-05-10,1.0761441729680503,1.0889066331333512,-0.011720435689308525
2016-05-11,1.0732521783917366,1.0889066331333512,-0.014376305796364402
2016-05-12,1.0706179001504963,1.0889066331333512,-0.016795501493299506
2016-05-13,1.0666943005372533,1.0889066331333512,-0.020398748543005427
2016-05-16,1.0761063188261881,1.0889066331333512,-0.011755199130645334
2016-05-17,1.0716392676396744,1.0889066331333512,-0.015857526227009564
2016-05-18,1.0727915995339907,1.0889066331333512,-0.014799279487341504
2016-05-19,1.0705631127760944,1.0889066331333512,-0.016845815609069236
2016-05-20,1.0720731574163613,1.0889066331333512,-0.015459062517188664
2016-05-23,1.0726867544769783,1.0889066331333512,-0.014895564195159637
2016-05-24,1.0777875942660444,1.0889066331333512,-0.010211195826139422
2016-05-25,1.0839440437082863,1.0889066331333512,-0.004557405817967089
2016-05-26,1.0840005740444536,1.0889066331333512,-0.0045054910491089065
2016-05-27,1.0848035585584002,1.0889066331333512,-0.0037680683082482376
2016-05-31,1.0819110791764441,1.0889066331333512,-0.006424383637720386
2016-06-01,1.0823169578582714,1.0889066331333512,-0.006051643983578173
2016-06-02,1.0836546643004505,1.0889066331333512,-0.004823158086371501
2016-06-03,1.0878503336160101,1.0889066331333512,-0.0009700551775514248
2016-06-06,1.0935956401557274,1.0935956401557274,0.0
2016-06-07,1.0960170312746116,1.0960170312746116,0.0
2016-06-08,1.1004012147976365,1.1004012147976365,0.0
2016-06-09,1.1036760115858928,1.1036760115858928,0.0
2016-06-10,1.1001758978709555,1.1036760115858928,-0.0031713235389685818
2016-06-13,1.096549784054215,1.1036760115858928,-0.00645681110839573
2016-06-14,1.0938174354034629,1.1036760115858928,-0.008932491128681812
2016-06-15,1.0931465549183952,1.1036760115858928,-0.00954035111478742
2016-06-16,1.0966974494439392,1.1036760115858928,-0.006323016962129995
2016-06-17,1.0904159154899618,1.1036760115858928,-0.012014482471968707
2016-06-20,1.0913211193877952,1.1036760115858928,-0.011194310711115868
2016-06-21,1.0915315266451027,1.1036760115858928,-0.011003668479973108
2016-06-22,1.089545063643455,1.1036760115858928,-0.012803529110080801
2016-06-23,1.0952501191400326,1.1036760115858928,-0.007634389401789122
2016-06-24,1.0782370811809958,1.1036760115858928,-0.02304927364357888
2016-06-27,1.073265798622379,1.1036760115858928,-0.027553568841110133
2016-06-28,1.087486581116624,1.1036760115858928,-0.014668643967359394
2016-06-29,1.0987180953611315,1.1036760115858928,-0.00449218445695594
2016-06-30,1.112560289532018,1.112560289532018,0.0
2016-07-01,1.1159289115130528,1.1159289115130528,0.0
2016-07-05,1.1134871287342016,1.1159289115130528,-0.0021881167820452583
2016-07-06,1.1191829536214244,1.1191829536214244,0.0
2016-07-07,1.1176823320715727,1.1191829536214244,-0.0013408188044644266
2016-07-08,1.1277499456003177,1.1277499456003177,0.0
2016-07-11,1.1283317556598262,1.1283317556598262,0.0
2016-07-12,1.129061268867661,1.129061268867661,0.0
2016-07-13,1.1316007309696638,1.1316007309696638,0.0
2016-07-14,1.1343522405160449,1.1343522405160449,0.0
2016-07-15,1.1323763886999578,1.1343522405160449,-0.0017418326913941616
2016-07-18,1.1335810223943135,1.1343522405160449,-0.000679875345757306
2016-07-19,1.136166215244276,1.136166215244276,0.0
2016-07-20,1.1329228139151981,1.136166215244276,-0.002854689116398804
2016-07-21,1.1332532115995955,1.136166215244276,-0.002563888633191055
2016-07-22,1.1340483849407088,1.136166215244276,-0.001864014503469305
2016-07-25,1.1266086925870462,1.136166215244276,-0.008412081374180702
2016-07-26,1.1242335241588572,1.136166215244276,-0.01050259277675599
2016-07-27,1.131653280086548,1.136166215244276,-0.0039720730093683616
2016-07-28,1.131909110106087,1.136166215244276,-0.00374690347333882
2016-07-29,1.1331661806167592,1.136166215244276,-0.00264048920594927
2016-08-01,1.128588495691634,1.136166215244276,-0.006669551911480353
2016-08-02,1.1265371015902406,1.136166215244276,-0.008475092398311759
2016-08-03,1.1303723833774213,1.136166215244276,-0.005099457974649418
2016-08-04,1.1319958269586017,1.136166215244276,-0.003670579383297058
2016-08-05,1.1355854708618247,1.136166215244276,-0.0005111438578785755
2016-08-08,1.1372582432749279,1.1372582432749279,0.0
2016-08-09,1.1394257005956177,1.1394257005956177,0.0
2016-08-10,1.1358397933088007,1.1394257005956177,-0.0031471181358665853
2016-08-11,1.135986201256192,1.1394257005956177,-0.0030186253808630165
2016-08-12,1.1389118243565344,1.1394257005956177,-0.00045099582957858187
2016-08-15,1.1406179010522268,1.1406179010522268,0.0
2016-08-16,1.1366022400917528,1.1406179010522268,-0.0035206013834865636
2016-08-17,1.140145745675686,1.1406179010522268,-0.00041394701600352453
2016-08-18,1.1420447219459684,1.1420447219459684,0.0
2016-08-19,1.1376348229740603,1.1420447219459684,-0.0038614065519202764
