Date,JPM,SPY,TLT,GLD,JNJ,AAPL,XOM,KO
2016-01-04,48.18406295776367,169.47152709960938,90.64977264404297,102.88999938964844,75.33753967285156,23.709102630615234,49.319618225097656,30.55597686767578
2016-01-05,48.26737594604492,169.75816345214844,90.28406524658203,103.18000030517578,75.6524658203125,23.11496925354004,49.739830017089844,30.66407012939453
2016-01-06,47.570594787597656,167.61680603027344,91.50067138671875,104.66999816894531,75.27005767822266,22.66261863708496,49.32598876953125,30.498310089111328
2016-01-07,45.64686965942383,163.59544372558594,91.66487884521484,106.1500015258789,74.39282989501953,21.706146240234375,48.53648376464844,29.99386215209961
2016-01-08,44.624420166015625,161.7996826171875,92.07542419433594,105.68000030517578,73.59805297851562,21.820924758911133,47.55592727661133,29.914583206176758
2016-01-11,44.556251525878906,161.9599151611328,91.06776428222656,104.73999786376953,73.15570831298828,22.17425537109375,46.919219970703125,29.96503257751465
2016-01-12,44.65472412109375,163.2666473388672,92.3814468383789,104.20999908447266,73.65805053710938,22.49607276916504,47.88064193725586,30.354177474975586
2016-01-13,43.427772521972656,159.19464111328125,93.2920150756836,104.72000122070312,72.74333190917969,21.91769027709961,48.16715621948242,30.15960121154785
2016-01-14,44.079105377197266,161.80821228027344,92.4188003540039,103.0199966430664,74.1453857421875,22.397058486938477,50.37654495239258,30.18123435974121
2016-01-15,43.2005500793457,158.33474731445312,93.85931396484375,104.08000183105469,72.72832489013672,21.85918617248535,49.39602279663086,29.907386779785156
2016-01-19,43.17782974243164,158.54554748535156,93.56822204589844,103.9800033569336,73.10322570800781,21.75341033935547,48.64469909667969,30.21006202697754
2016-01-20,42.041770935058594,156.51376342773438,94.55342864990234,105.37000274658203,71.79109954833984,21.782672882080078,46.59449768066406,29.820903778076172
2016-01-21,41.8448486328125,157.39053344726562,93.91155242919922,105.48999786376953,71.93356323242188,21.672395706176758,47.18027877807617,29.828100204467773
2016-01-22,43.132389068603516,160.6194610595703,93.55326080322266,105.0,72.54088592529297,22.824647903442383,48.75296401977539,30.31093978881836
2016-01-25,42.15536880493164,158.19142150878906,94.06084442138672,106.08000183105469,72.2784652709961,22.379056930541992,47.10386276245117,30.383010864257812
2016-01-26,43.2308464050293,160.34963989257812,94.10562896728516,107.29000091552734,75.86238861083984,22.502824783325195,48.835723876953125,30.32536506652832
2016-01-27,43.2005500793457,158.6045379638672,94.08319854736328,107.69000244140625,76.59718322753906,21.024255752563477,47.93795394897461,30.332563400268555
2016-01-28,43.38231658935547,159.43075561523438,94.21749114990234,106.54000091552734,76.67962646484375,21.175029754638672,49.020362854003906,30.678478240966797
2016-01-29,45.06369400024414,163.31716918945312,95.0162353515625,106.94999694824219,78.30664825439453,21.906444549560547,49.56793212890625,30.93071746826172
2016-02-01,44.5789794921875,163.2582244873047,94.7253646850586,108.05000305175781,78.2541732788086,21.701650619506836,48.57466506958008,30.988372802734375
2016-02-02,43.19297409057617,160.31593322753906,96.482666015625,108.08999633789062,77.53438568115234,21.262800216674805,47.49226379394531,30.584796905517578
2016-02-03,43.480777740478516,161.27700805664062,95.68248748779297,109.25,78.08172607421875,21.683645248413086,49.96904754638672,30.786579132080078
2016-02-04,44.23058319091797,161.5299530029297,96.14613342285156,110.56999969482422,77.90178680419922,21.857873916625977,50.8286247253418,30.649654388427734
2016-02-05,43.73829650878906,158.45274353027344,96.25828552246094,112.31999969482422,75.38251495361328,21.274093627929688,50.9878044128418,30.584796905517578
2016-02-08,42.821868896484375,156.31980895996094,98.32979583740234,113.83000183105469,76.47721862792969,21.49810028076172,51.67544937133789,30.736141204833984
2016-02-09,42.56435775756836,156.32826232910156,98.43446350097656,113.58000183105469,76.4547119140625,21.493581771850586,51.45058059692383,31.204570770263672
2016-02-10,42.04935073852539,156.1934051513672,99.30191802978516,114.45999908447266,76.2747573852539,21.33066177368164,50.981544494628906,30.66407012939453
2016-02-11,40.19378662109375,154.16159057617188,99.99740600585938,119.05999755859375,76.25228118896484,21.201688766479492,51.14219284057617,30.56317901611328
2016-02-12,43.541358947753906,157.33995056152344,98.33729553222656,118.36000061035156,76.34224700927734,21.267301559448242,52.06095504760742,31.067644119262695
